name,country,subcountry,geonameid
Americana,Brazil,São Paulo,3472343
les Escaldes,Andorra,Escaldes-Engordany,3040051
Andorra la Vella,Andorra,Andorra la Vella,3041563
Umm al Qaywayn,United Arab Emirates,Umm al Qaywayn,290594
Ras al-Khaimah,United Arab Emirates,Raʼs al Khaymah,291074
Khawr Fakkān,United Arab Emirates,Ash Shāriqah,291696
Dubai,United Arab Emirates,Dubai,292223
Dibba Al-Fujairah,United Arab Emirates,Al Fujayrah,292231
Dibba Al-Hisn,United Arab Emirates,Al Fujayrah,292239
Sharjah,United Arab Emirates,Ash Shāriqah,292672
Ar Ruways,United Arab Emirates,Abu Dhabi,292688
Al Fujayrah,United Arab Emirates,Al Fujayrah,292878
Al Ain,United Arab Emirates,Abu Dhabi,292913
Ajman,United Arab Emirates,Ajman,292932
Valparaíso,Brazil,São Paulo,3445575
Valinhos,Brazil,São Paulo,3445578
Valença,Brazil,Rio de Janeiro,3445596
Valença,Brazil,Bahia,3445597
Vacaria,Brazil,Rio Grande do Sul,3445630
Uruguaiana,Brazil,Rio Grande do Sul,3445679
Uruçuca,Brazil,Bahia,3445690
Uruaçu,Brazil,Goiás,3445713
Tatuí,Brazil,São Paulo,3446692
Taquarituba,Brazil,São Paulo,3446752
Taquaritinga,Brazil,São Paulo,3446753
Taquari,Brazil,Rio Grande do Sul,3446783
Taquara,Brazil,Rio Grande do Sul,3446847
Tapiramutá,Brazil,Bahia,3446866
Tapes,Brazil,Rio Grande do Sul,3446880
Tanguá,Brazil,Rio de Janeiro,3446974
Tanabi,Brazil,São Paulo,3446979
Tambaú,Brazil,São Paulo,3447005
Taiobeiras,Brazil,Minas Gerais,3447059
Taboão da Serra,Brazil,São Paulo,3447186
Suzano,Brazil,São Paulo,3447212
Sumaré,Brazil,São Paulo,3447259
Sorocaba,Brazil,São Paulo,3447399
Soledade,Brazil,Rio Grande do Sul,3447423
Socorro,Brazil,São Paulo,3447437
Sobradinho,Brazil,Bahia,3447473
Simão Dias,Brazil,Sergipe,3447562
Silva Jardim,Brazil,Rio de Janeiro,3447591
Sidrolândia,Brazil,Mato Grosso do Sul,3447597
Sete Lagoas,Brazil,Minas Gerais,3447624
Sertãozinho,Brazil,São Paulo,3447651
Serrinha,Brazil,Bahia,3447690
Serra Negra,Brazil,São Paulo,3447718
Serrana,Brazil,São Paulo,3447720
Serra,Brazil,Espírito Santo,3447779
Seropédica,Brazil,Rio de Janeiro,3447785
Senhor do Bonfim,Brazil,Bahia,3447839
Senador Canedo,Brazil,Goiás,3447854
Seabra,Brazil,Bahia,3447928
Schroeder,Brazil,Santa Catarina,3447929
Saubara,Brazil,Bahia,3447961
Sarzedo,Brazil,Minas Gerais,3447969
Sarandi,Brazil,Rio Grande do Sul,3447997
Sarandi,Brazil,Paraná,3447998